Date,Account_Name,Balance,Currency,Interest_Rate,Rate_Type,Notes
31-Dec-24,Chase Current Account,2543.67,GBP,,,Main spending account
31-Dec-24,Chase Savings Account,8249.15,GBP,4.50,AER,Easy access savings
31-Dec-24,Premium Bonds,5000.00,GBP,,,NS&I Premium Bonds
31-Dec-24,Stocks & Shares ISA,12847.32,GBP,,,Vanguard FTSE Global
31-Dec-24,Cash ISA,15000.00,GBP,5.17,AER,Fixed until Dec 2025
31-Dec-24,Australian Savings,10695.00,AUD,3.25,PA,ANZ Savings Account
31-Dec-24,Old Credit Union,0.00,GBP,,,Closed account
31-Jan-25,Chase Current Account,2876.43,GBP,,,Main spending account
31-Jan-25,Chase Savings Account,8425.89,GBP,4.50,AER,Easy access savings
31-Jan-25,Premium Bonds,5000.00,GBP,,,NS&I Premium Bonds
31-Jan-25,Stocks & Shares ISA,13245.67,GBP,,,Vanguard FTSE Global
31-Jan-25,Cash ISA,15064.38,GBP,5.17,AER,Fixed until Dec 2025
31-Jan-25,Australian Savings,10695.00,AUD,3.25,PA,ANZ Savings Account
31-Jan-25,Old Credit Union,0.00,GBP,,,Closed account
28-Feb-25,Chase Current Account,3142.18,GBP,,,Main spending account
28-Feb-25,Chase Savings Account,8605.23,GBP,4.50,AER,Easy access savings
28-Feb-25,Premium Bonds,5000.00,GBP,,,NS&I Premium Bonds
28-Feb-25,Stocks & Shares ISA,13567.89,GBP,,,Vanguard FTSE Global
28-Feb-25,Cash ISA,15129.15,GBP,5.17,AER,Fixed until Dec 2025
28-Feb-25,Australian Savings,10695.00,AUD,3.25,PA,ANZ Savings Account
28-Feb-25,Old Credit Union,0.00,GBP,,,Closed account
31-Mar-25,Chase Current Account,2987.65,GBP,,,Main spending account
31-Mar-25,Chase Savings Account,8786.12,GBP,4.50,AER,Easy access savings
31-Mar-25,Premium Bonds,5000.00,GBP,,,NS&I Premium Bonds
31-Mar-25,Stocks & Shares ISA,13892.45,GBP,,,Vanguard FTSE Global
31-Mar-25,Cash ISA,15194.33,GBP,5.17,AER,Fixed until Dec 2025
31-Mar-25,Australian Savings,10695.00,AUD,3.25,PA,ANZ Savings Account
31-Mar-25,Old Credit Union,0.00,GBP,,,Closed account
30-Apr-25,Chase Current Account,3234.91,GBP,,,Main spending account
30-Apr-25,Chase Savings Account,8969.45,GBP,4.50,AER,Easy access savings
30-Apr-25,Premium Bonds,5000.00,GBP,,,NS&I Premium Bonds
30-Apr-25,Stocks & Shares ISA,14123.78,GBP,,,Vanguard FTSE Global
30-Apr-25,Cash ISA,15259.92,GBP,5.17,AER,Fixed until Dec 2025
30-Apr-25,Australian Savings,10695.00,AUD,3.25,PA,ANZ Savings Account
30-Apr-25,Old Credit Union,0.00,GBP,,,Closed account
